CustomerID,SubscriptionType,StartDate,EndDate
rmds,Premium,2011-08-19,2025-11-30
ldki,Premium,2012-09-18,2025-04-19
kzsn,Basic,2013-02-25,2025-11-27
fpgy,Premium,2013-07-07,2025-12-05
dexi,Basic,2013-07-27,2025-06-30
jowx,Premium,2013-12-16,2025-12-24
iony,Basic,2014-06-28,2025-11-30
oraf,Basic,2014-09-22,2025-11-27
ujvs,Premium,2014-11-02,2025-12-05
prye,Premium,2015-05-05,2025-11-30
clkt,Basic,2017-01-18,2024-12-17
qbde,Premium,2016-05-11,2025-11-15
eabg,Basic,2018-11-11,2024-12-29
pxft,Basic,2019-06-04,2024-12-27
vxqn,Premium,2019-08-03,2025-12-01
twvu,Basic,2020-01-12,2025-11-30
licy,Premium,2020-10-03,2025-11-30
czvy,Basic,2022-02-18,2024-12-31
tjml,Premium,2022-06-20,2025-12-05
prye,Premium,2022-10-23,2025-11-30
