Record ID,Rental Date,Return Date,Rental Customer ID
dc007,2011-08-20,,rmds
bm200,2012-09-20,2012-10-13,ldki
dc010,2013-02-09,2013-03-07,rmds
tw190,2013-02-26,2013-03-27,kzsn
dc010,2013-07-08,2013-08-07,fpgy
tw120,2013-07-29,,dexi
tw130,2013-12-17,2014-01-06,jowx
bm200,2014-07-28,2014-07-31,iony
tw190,2014-10-22,2014-10-30,oraf
bm200,2014-11-07,2014-12-04,ujvs
dc010,2015-02-18,2015-02-23,fpgy
tw190,2015-02-20,2015-03-03,iony
tw190,2015-05-13,2015-05-24,prye
hs180,2015-06-26,2015-06-28,jowx
bb090,2015-07-04,2015-07-29,rmds
bm200,2016-01-30,2016-02-18,qvxk
bb090,2016-02-05,2016-02-06,iony
hs180,2016-05-30,2016-06-10,kzsn
hs160,2016-07-11,2016-07-24,qbde
hs160,2016-08-01,2016-08-27,prye
bb090,2017-02-18,2017-03-02,clkt
hs180,2017-02-19,2017-03-13,iony
dc010,2017-05-29,,rmds
tw190,2017-06-09,2017-07-04,rmds
bb090,2017-09-07,2017-09-12,qbde
pm050,2017-11-13,2017-11-29,qbde
l1100,2018-05-28,2018-06-12,qbde
pm050,2018-11-15,2018-11-27,eabg
tw130,2018-12-14,2019-01-13,fpgy
pm050,2019-03-06,2019-03-10,ujvs
pm010,2019-06-05,2019-07-03,pxft
l1100,2019-08-07,2019-09-01,vxqn
tw130,2019-08-31,2019-09-15,oraf
hs160,2019-10-25,2019-11-06,jowx
pm010,2019-12-22,2020-01-17,fpgy
hs180,2020-01-16,2020-01-28,eabg
bb090,2020-01-19,2020-01-23,twvu
pm050,2020-05-27,2020-06-26,fpgy
hs160,2020-07-06,2020-07-17,pxft
tw130,2020-11-03,2020-11-16,licy
l1100,2021-04-17,2021-05-03,oraf
bb090,2021-04-26,2021-04-27,jowx
hs180,2021-05-16,2021-06-15,qbde
or040,2021-05-18,2021-05-22,twvu
k0300,2021-10-07,2021-10-14,licy
hs160,2021-11-29,2021-12-08,fpgy
l1100,2022-02-17,2022-03-07,jowx
bm200,2022-03-18,2022-04-13,czvy
or040,2022-03-30,2022-04-03,clkt
hs170,2022-04-13,2022-04-19,prye
k0300,2022-05-01,2022-05-12,dexi
hs170,2022-05-26,2022-06-15,vxqn
r1400,2022-05-30,2022-06-20,fpgy
k0300,2022-06-18,2022-07-16,eabg
hs160,2022-06-24,2022-07-14,tjml
hs180,2022-08-23,2022-08-24,pxft
k0300,2022-09-17,2022-09-23,rmds
hs180,2022-09-18,2022-09-23,ujvs
k0300,2022-10-06,2022-10-24,ldki
hs170,2022-11-23,2022-12-21,qbde
pm050,2022-11-23,2022-11-30,oraf
tw190,2022-12-27,2023-01-25,vxqn
or040,2023-01-10,2023-01-24,prye
hs160,2023-01-21,2023-02-04,licy
tw130,2023-03-16,2023-04-03,ujvs
pm010,2023-03-28,2023-04-14,vxqn
hs180,2023-04-09,2023-05-01,tjml
a1500,2023-04-12,2023-05-02,twvu
l1100,2023-04-25,2023-05-18,ujvs
a1500,2023-05-19,2023-05-30,eabg
tw130,2023-06-01,2023-06-02,iony
a1500,2023-06-10,2023-06-18,qvxk
hs170,2023-07-07,2023-08-01,pxft
bb090,2023-09-12,2023-09-24,jowx
or040,2023-10-05,,jowx
bm200,2023-11-12,2023-11-28,qbde
k0300,2024-01-06,2024-01-28,fpgy
pm050,2024-01-24,2024-02-09,prye
bm200,2024-03-13,,oraf
a1500,2024-03-13,2024-04-11,vxqn
r1400,2024-03-24,2024-03-27,eabg
hs170,2024-04-09,2024-04-20,vxqn
bb090,2024-04-19,,ldki
r1400,2024-04-24,2024-05-14,ldki
ss060,2024-05-04,2024-05-05,kzsn
ss060,2024-05-19,2024-05-23,prye
ss060,2024-05-25,2024-06-04,qbde
hs170,2024-06-16,2024-07-10,clkt
pm050,2024-06-24,,vxqn
a1500,2024-08-23,2024-09-21,licy
ss060,2024-09-06,2024-09-14,twvu
h0200,2024-10-10,2024-11-09,qvxk
ss060,2024-10-26,2024-10-31,oraf
a1500,2024-11-03,2024-11-14,kzsn
ss060,2024-11-14,2024-11-19,qbde
h0200,2024-11-21,2024-11-24,kzsn
l0800,2024-11-25,2024-11-28,eabg
ss060,2024-11-27,,kzsn
l0800,2024-11-29,2024-11-30,kzsn
l0800,2024-11-31,,prye
